participant,model,story_id,item_id
G35,QwenImageEdit-2509,52,story52_QwenImageEdit-2509
G35,UNO,15,story15_UNO
G35,Gemini,8,story08_Gemini
G35,StoryDiffusion_photomaker,27,story27_StoryDiffusion_photomaker
G35,NaiveBaseline,79,story79_NaiveBaseline
G35,NanoBanana,55,story55_NanoBanana
G36,NanoBanana,79,story79_NanoBanana
G36,NaiveBaseline,27,story27_NaiveBaseline
G36,UNO,55,story55_UNO
G36,StoryDiffusion_photomaker,8,story08_StoryDiffusion_photomaker
G36,Gemini,15,story15_Gemini
G36,QwenImageEdit-2509,52,story52_QwenImageEdit-2509
G37,QwenImageEdit-2509,17,story17_QwenImageEdit-2509
G37,NanoBanana,1,story01_NanoBanana
G37,UNO,28,story28_UNO
G37,NaiveBaseline,57,story57_NaiveBaseline
G37,Gemini,53,story53_Gemini
G37,StoryDiffusion_photomaker,9,story09_StoryDiffusion_photomaker
G38,NanoBanana,28,story28_NanoBanana
G38,StoryDiffusion_photomaker,9,story09_StoryDiffusion_photomaker
G38,UNO,17,story17_UNO
G38,QwenImageEdit-2509,57,story57_QwenImageEdit-2509
G38,Gemini,53,story53_Gemini
G38,NaiveBaseline,1,story01_NaiveBaseline
G39,UNO,53,story53_UNO
G39,NaiveBaseline,28,story28_NaiveBaseline
G39,QwenImageEdit-2509,17,story17_QwenImageEdit-2509
G39,Gemini,1,story01_Gemini
G39,StoryDiffusion_photomaker,57,story57_StoryDiffusion_photomaker
G39,NanoBanana,9,story09_NanoBanana
G40,StoryDiffusion_photomaker,28,story28_StoryDiffusion_photomaker
G40,UNO,17,story17_UNO
G40,QwenImageEdit-2509,53,story53_QwenImageEdit-2509
G40,NaiveBaseline,9,story09_NaiveBaseline
G40,Gemini,1,story01_Gemini
G40,NanoBanana,57,story57_NanoBanana
G41,QwenImageEdit-2509,28,story28_QwenImageEdit-2509
G41,StoryDiffusion_photomaker,53,story53_StoryDiffusion_photomaker
G41,NaiveBaseline,9,story09_NaiveBaseline
G41,UNO,1,story01_UNO
G41,NanoBanana,57,story57_NanoBanana
G41,Gemini,17,story17_Gemini
G42,NanoBanana,1,story01_NanoBanana
G42,StoryDiffusion_photomaker,9,story09_StoryDiffusion_photomaker
G42,UNO,53,story53_UNO
G42,Gemini,57,story57_Gemini
G42,NaiveBaseline,28,story28_NaiveBaseline
G42,QwenImageEdit-2509,17,story17_QwenImageEdit-2509
G43,QwenImageEdit-2509,28,story28_QwenImageEdit-2509
G43,StoryDiffusion_photomaker,17,story17_StoryDiffusion_photomaker
G43,Gemini,9,story09_Gemini
G43,UNO,1,story01_UNO
G43,NanoBanana,57,story57_NanoBanana
G43,NaiveBaseline,53,story53_NaiveBaseline
G44,StoryDiffusion_photomaker,53,story53_StoryDiffusion_photomaker
G44,QwenImageEdit-2509,9,story09_QwenImageEdit-2509
G44,NanoBanana,28,story28_NanoBanana
G44,Gemini,57,story57_Gemini
G44,UNO,1,story01_UNO
G44,NaiveBaseline,17,story17_NaiveBaseline
G45,QwenImageEdit-2509,53,story53_QwenImageEdit-2509
G45,NanoBanana,1,story01_NanoBanana
G45,StoryDiffusion_photomaker,17,story17_StoryDiffusion_photomaker
G45,NaiveBaseline,9,story09_NaiveBaseline
G45,Gemini,57,story57_Gemini
G45,UNO,28,story28_UNO
G46,NanoBanana,28,story28_NanoBanana
G46,StoryDiffusion_photomaker,57,story57_StoryDiffusion_photomaker
G46,UNO,53,story53_UNO
G46,NaiveBaseline,17,story17_NaiveBaseline
G46,QwenImageEdit-2509,9,story09_QwenImageEdit-2509
G46,Gemini,1,story01_Gemini
G47,NanoBanana,9,story09_NanoBanana
G47,Gemini,53,story53_Gemini
G47,QwenImageEdit-2509,57,story57_QwenImageEdit-2509
G47,UNO,28,story28_UNO
G47,StoryDiffusion_photomaker,1,story01_StoryDiffusion_photomaker
G47,NaiveBaseline,17,story17_NaiveBaseline
G48,UNO,57,story57_UNO
G48,Gemini,28,story28_Gemini
G48,NaiveBaseline,1,story01_NaiveBaseline
G48,QwenImageEdit-2509,9,story09_QwenImageEdit-2509
G48,StoryDiffusion_photomaker,17,story17_StoryDiffusion_photomaker
G48,NanoBanana,53,story53_NanoBanana
G49,UNO,17,story17_UNO
G49,NanoBanana,9,story09_NanoBanana
G49,Gemini,28,story28_Gemini
G49,StoryDiffusion_photomaker,1,story01_StoryDiffusion_photomaker
G49,NaiveBaseline,57,story57_NaiveBaseline
G49,QwenImageEdit-2509,53,story53_QwenImageEdit-2509
G50,NanoBanana,17,story17_NanoBanana
G50,UNO,57,story57_UNO
G50,QwenImageEdit-2509,28,story28_QwenImageEdit-2509
G50,Gemini,9,story09_Gemini
G50,StoryDiffusion_photomaker,1,story01_StoryDiffusion_photomaker
G50,NaiveBaseline,53,story53_NaiveBaseline
G51,NanoBanana,17,story17_NanoBanana
G51,QwenImageEdit-2509,57,story57_QwenImageEdit-2509
G51,UNO,9,story09_UNO
G51,Gemini,28,story28_Gemini
G51,StoryDiffusion_photomaker,53,story53_StoryDiffusion_photomaker
G51,NaiveBaseline,1,story01_NaiveBaseline
G52,QwenImageEdit-2509,1,story01_QwenImageEdit-2509
G52,StoryDiffusion_photomaker,57,story57_StoryDiffusion_photomaker
G52,UNO,9,story09_UNO
G52,Gemini,17,story17_Gemini
G52,NanoBanana,53,story53_NanoBanana
G52,NaiveBaseline,28,story28_NaiveBaseline
G53,QwenImageEdit-2509,1,story01_QwenImageEdit-2509
G53,StoryDiffusion_photomaker,28,story28_StoryDiffusion_photomaker
G53,Gemini,17,story17_Gemini
G53,NanoBanana,53,story53_NanoBanana
G53,NaiveBaseline,57,story57_NaiveBaseline
G53,UNO,9,story09_UNO
G54,NanoBanana,17,story17_NanoBanana
G54,StoryDiffusion_photomaker,28,story28_StoryDiffusion_photomaker
G54,QwenImageEdit-2509,1,story01_QwenImageEdit-2509
G54,UNO,57,story57_UNO
G54,NaiveBaseline,53,story53_NaiveBaseline
G54,Gemini,9,story09_Gemini
